Age Group,Investment Time Horizon,Risk Type,Allocation
35-45,38,Equity – Agg,60.0
35-45,39,Equity – Agg,60.0
35-45,40,Equity – Agg,60.0
35-45,41,Equity – Agg,60.0
35-45,42,Equity – Agg,60.0
35-45,43,Equity – Agg,60.0
35-45,44,Equity – Agg,60.0
35-45,45,Equity – Agg,60.0
35-45,46,Equity – Agg,60.0
35-45,47,Equity – Agg,60.0
35-45,48,Equity – Agg,60.0
35-45,49,Equity – Agg,60.0
35-45,50,Equity – Agg,60.0
45-55,< 3M,Liquid,100.0
45-55,< 6M,Liquid,60.0
45-55,< 1Y,Liquid,30.0
45-55,1,Liquid,
45-55,2,Liquid,
45-55,3,Liquid,
45-55,4,Liquid,
45-55,5,Liquid,
45-55,6,Liquid,
45-55,7,Liquid,
45-55,8,Liquid,
45-55,9,Liquid,
45-55,10,Liquid,
45-55,11,Liquid,
45-55,12,Liquid,
45-55,13,Liquid,
45-55,14,Liquid,
45-55,15,Liquid,
45-55,16,Liquid,
45-55,17,Liquid,
45-55,18,Liquid,
45-55,19,Liquid,
45-55,20,Liquid,
45-55,21,Liquid,
45-55,22,Liquid,
45-55,23,Liquid,
45-55,24,Liquid,
45-55,25,Liquid,
45-55,26,Liquid,
45-55,27,Liquid,
45-55,28,Liquid,
45-55,29,Liquid,
45-55,30,Liquid,
45-55,31,Liquid,
45-55,32,Liquid,
45-55,33,Liquid,
45-55,34,Liquid,
45-55,35,Liquid,
45-55,36,Liquid,
45-55,37,Liquid,
45-55,38,Liquid,
45-55,39,Liquid,
45-55,40,Liquid,
45-55,41,Liquid,
45-55,42,Liquid,
45-55,43,Liquid,
45-55,44,Liquid,
45-55,45,Liquid,
45-55,46,Liquid,
45-55,47,Liquid,
45-55,48,Liquid,
45-55,49,Liquid,
45-55,50,Liquid,
45-55,< 3M,Short Term,
45-55,< 6M,Short Term,40.0
45-55,< 1Y,Short Term,70.0
45-55,1,Short Term,80.0
45-55,2,Short Term,
45-55,3,Short Term,
45-55,4,Short Term,
45-55,5,Short Term,
45-55,6,Short Term,
45-55,7,Short Term,
45-55,8,Short Term,
45-55,9,Short Term,
45-55,10,Short Term,
45-55,11,Short Term,
45-55,12,Short Term,
45-55,13,Short Term,
45-55,14,Short Term,
45-55,15,Short Term,
45-55,16,Short Term,
45-55,17,Short Term,
45-55,18,Short Term,
45-55,19,Short Term,
45-55,20,Short Term,
45-55,21,Short Term,
45-55,22,Short Term,
45-55,23,Short Term,
45-55,24,Short Term,
45-55,25,Short Term,
45-55,26,Short Term,
45-55,27,Short Term,
45-55,28,Short Term,
45-55,29,Short Term,
45-55,30,Short Term,
45-55,31,Short Term,
45-55,32,Short Term,
45-55,33,Short Term,
45-55,34,Short Term,
45-55,35,Short Term,
45-55,36,Short Term,
45-55,37,Short Term,
45-55,38,Short Term,
45-55,39,Short Term,
45-55,40,Short Term,
45-55,41,Short Term,
45-55,42,Short Term,
45-55,43,Short Term,
45-55,44,Short Term,
45-55,45,Short Term,
45-55,46,Short Term,
45-55,47,Short Term,
45-55,48,Short Term,
45-55,49,Short Term,
45-55,50,Short Term,
45-55,< 3M,Income,
45-55,< 6M,Income,
45-55,< 1Y,Income,
45-55,1,Income,20
45-55,2,Income,100
45-55,3,Income,60
45-55,4,Income,40
45-55,5,Income, 
45-55,6,Income,
45-55,7,Income,
45-55,8,Income,
45-55,9,Income,
45-55,10,Income,
45-55,11,Income,
45-55,12,Income,
45-55,13,Income,
45-55,14,Income,
45-55,15,Income,
45-55,16,Income,
45-55,17,Income,
45-55,18,Income,
45-55,19,Income,
45-55,20,Income,
45-55,21,Income,
45-55,22,Income,
45-55,23,Income,
45-55,24,Income,
45-55,25,Income,
45-55,26,Income,
45-55,27,Income,
45-55,28,Income,
45-55,29,Income,
45-55,30,Income,
45-55,31,Income,
45-55,32,Income,
45-55,33,Income,
45-55,34,Income,
45-55,35,Income,
45-55,36,Income,
45-55,37,Income,
45-55,38,Income,
45-55,39,Income,
45-55,40,Income,
45-55,41,Income,
45-55,42,Income,
45-55,43,Income,
45-55,44,Income,
45-55,45,Income,
45-55,46,Income,
45-55,47,Income,
45-55,48,Income,
45-55,49,Income,
45-55,50,Income,
45-55,< 3M,Balanced,
45-55,< 6M,Balanced,
45-55,< 1Y,Balanced,
45-55,1,Balanced,
45-55,2,Balanced,0.0
45-55,3,Balanced,40.0
45-55,4,Balanced,60.0
45-55,5,Balanced,80.0
45-55,6,Balanced,60.0
45-55,7,Balanced,40.0
45-55,8,Balanced,20.0
45-55,9,Balanced,
45-55,10,Balanced,
45-55,11,Balanced,
45-55,12,Balanced,
45-55,13,Balanced,
45-55,14,Balanced,
45-55,15,Balanced,
45-55,16,Balanced,
45-55,17,Balanced,
45-55,18,Balanced,
45-55,19,Balanced,
45-55,20,Balanced,
45-55,21,Balanced,
45-55,22,Balanced,
45-55,23,Balanced,
45-55,24,Balanced,
45-55,25,Balanced,
45-55,26,Balanced,
45-55,27,Balanced,
45-55,28,Balanced,
45-55,29,Balanced,
45-55,30,Balanced,
45-55,31,Balanced,
45-55,32,Balanced,
45-55,33,Balanced,
45-55,34,Balanced,
45-55,35,Balanced,
45-55,36,Balanced,
45-55,37,Balanced,
45-55,38,Balanced,
45-55,39,Balanced,
45-55,40,Balanced,
45-55,41,Balanced,
45-55,42,Balanced,
45-55,43,Balanced,
45-55,44,Balanced,
45-55,45,Balanced,
45-55,46,Balanced,
45-55,47,Balanced,
45-55,48,Balanced,
45-55,49,Balanced,
45-55,50,Balanced,
45-55,< 3M,Equity – Mod,
45-55,< 6M,Equity – Mod,
45-55,< 1Y,Equity – Mod,
45-55,1,Equity – Mod,
45-55,2,Equity – Mod,
45-55,3,Equity – Mod,
45-55,4,Equity – Mod,
45-55,5,Equity – Mod,20.0
45-55,6,Equity – Mod,40.0
45-55,7,Equity – Mod,60.0
45-55,8,Equity – Mod,80.0
45-55,9,Equity – Mod,80.0
45-55,10,Equity – Mod,60.0
45-55,11,Equity – Mod,50.0
45-55,12,Equity – Mod,50.0
45-55,13,Equity – Mod,50.0
45-55,14,Equity – Mod,50.0
45-55,15,Equity – Mod,50.0
45-55,16,Equity – Mod,50.0
45-55,17,Equity – Mod,50.0
45-55,18,Equity – Mod,50.0
45-55,19,Equity – Mod,50.0
45-55,20,Equity – Mod,50.0
45-55,21,Equity – Mod,50.0
45-55,22,Equity – Mod,50.0
45-55,23,Equity – Mod,50.0
45-55,24,Equity – Mod,50.0
45-55,25,Equity – Mod,50.0
45-55,26,Equity – Mod,50.0
45-55,27,Equity – Mod,50.0
45-55,28,Equity – Mod,50.0
45-55,29,Equity – Mod,50.0
45-55,30,Equity – Mod,50.0
45-55,31,Equity – Mod,50.0
45-55,32,Equity – Mod,50.0
45-55,33,Equity – Mod,50.0
45-55,34,Equity – Mod,50.0
45-55,35,Equity – Mod,50.0
45-55,36,Equity – Mod,50.0
45-55,37,Equity – Mod,50.0
45-55,38,Equity – Mod,50.0
45-55,39,Equity – Mod,50.0
45-55,40,Equity – Mod,50.0
45-55,41,Equity – Mod,50.0
45-55,42,Equity – Mod,50.0
45-55,43,Equity – Mod,50.0
45-55,44,Equity – Mod,50.0
45-55,45,Equity – Mod,50.0
45-55,46,Equity – Mod,50.0
45-55,47,Equity – Mod,50.0
45-55,48,Equity – Mod,50.0
45-55,49,Equity – Mod,50.0
45-55,50,Equity – Mod,50.0
45-55,< 3M,Equity – Agg,
45-55,< 6M,Equity – Agg,
45-55,< 1Y,Equity – Agg,
45-55,1,Equity – Agg,
45-55,2,Equity – Agg,
45-55,3,Equity – Agg,
45-55,4,Equity – Agg,
45-55,5,Equity – Agg,
45-55,6,Equity – Agg,
45-55,7,Equity – Agg,
45-55,8,Equity – Agg,0.0
45-55,9,Equity – Agg,20.0
45-55,10,Equity – Agg,40.0
45-55,11,Equity – Agg,50.0
45-55,12,Equity – Agg,50.0
45-55,13,Equity – Agg,50.0
45-55,14,Equity – Agg,50.0
45-55,15,Equity – Agg,50.0
45-55,16,Equity – Agg,50.0
45-55,17,Equity – Agg,50.0
45-55,18,Equity – Agg,50.0
45-55,19,Equity – Agg,50.0
45-55,20,Equity – Agg,50.0
45-55,21,Equity – Agg,50.0
45-55,22,Equity – Agg,50.0
45-55,23,Equity – Agg,50.0
45-55,24,Equity – Agg,50.0
45-55,25,Equity – Agg,50.0
45-55,26,Equity – Agg,50.0
45-55,27,Equity – Agg,50.0
45-55,28,Equity – Agg,50.0
45-55,29,Equity – Agg,50.0
45-55,30,Equity – Agg,50.0
45-55,31,Equity – Agg,50.0
45-55,32,Equity – Agg,50.0
45-55,33,Equity – Agg,50.0
45-55,34,Equity – Agg,50.0
45-55,35,Equity – Agg,50.0
45-55,36,Equity – Agg,50.0
45-55,37,Equity – Agg,50.0
45-55,38,Equity – Agg,50.0
45-55,39,Equity – Agg,50.0
45-55,40,Equity – Agg,50.0
45-55,41,Equity – Agg,50.0
45-55,42,Equity – Agg,50.0
45-55,43,Equity – Agg,50.0
45-55,44,Equity – Agg,50.0
45-55,45,Equity – Agg,50.0
45-55,46,Equity – Agg,50.0
45-55,47,Equity – Agg,50.0
45-55,48,Equity – Agg,50.0
45-55,49,Equity – Agg,50.0
45-55,50,Equity – Agg,50.0
55-65,< 3M,Liquid,100.0
55-65,< 6M,Liquid,80.0
55-65,< 1Y,Liquid,40.0
55-65,1,Liquid,
55-65,2,Liquid,
55-65,3,Liquid,
55-65,4,Liquid,
55-65,5,Liquid,
55-65,6,Liquid,
55-65,7,Liquid,
55-65,8,Liquid,
55-65,9,Liquid,
55-65,10,Liquid,
55-65,11,Liquid,
55-65,12,Liquid,
55-65,13,Liquid,
55-65,14,Liquid,
55-65,15,Liquid,
55-65,16,Liquid,
55-65,17,Liquid,
55-65,18,Liquid,
55-65,19,Liquid,
55-65,20,Liquid,
55-65,21,Liquid,
55-65,22,Liquid,
55-65,23,Liquid,
55-65,24,Liquid,
55-65,25,Liquid,
55-65,26,Liquid,
55-65,27,Liquid,
55-65,28,Liquid,
55-65,29,Liquid,
55-65,30,Liquid,
55-65,31,Liquid,
55-65,32,Liquid,
55-65,33,Liquid,
55-65,34,Liquid,
55-65,35,Liquid,
55-65,36,Liquid,
55-65,37,Liquid,
55-65,38,Liquid,
55-65,39,Liquid,
55-65,40,Liquid,
55-65,41,Liquid,
55-65,42,Liquid,
55-65,43,Liquid,
55-65,44,Liquid,
55-65,45,Liquid,
55-65,46,Liquid,
55-65,47,Liquid,
55-65,48,Liquid,
55-65,49,Liquid,
55-65,50,Liquid,
55-65,< 3M,Short Term,
55-65,< 6M,Short Term,20.0
55-65,< 1Y,Short Term,60.0
55-65,1,Short Term,100.0
55-65,2,Short Term,
55-65,3,Short Term,
55-65,4,Short Term,
55-65,5,Short Term,
55-65,6,Short Term,
55-65,7,Short Term,
55-65,8,Short Term,
55-65,9,Short Term,
55-65,10,Short Term,
55-65,11,Short Term,
55-65,12,Short Term,
55-65,13,Short Term,
55-65,14,Short Term,
55-65,15,Short Term,
55-65,16,Short Term,
55-65,17,Short Term,
55-65,18,Short Term,
55-65,19,Short Term,
55-65,20,Short Term,
55-65,21,Short Term,
55-65,22,Short Term,
55-65,23,Short Term,
55-65,24,Short Term,
55-65,25,Short Term,
55-65,26,Short Term,
55-65,27,Short Term,
55-65,28,Short Term,
55-65,29,Short Term,
55-65,30,Short Term,
55-65,31,Short Term,
55-65,32,Short Term,
55-65,33,Short Term,
55-65,34,Short Term,
55-65,35,Short Term,
55-65,36,Short Term,
55-65,37,Short Term,
55-65,38,Short Term,
55-65,39,Short Term,
55-65,40,Short Term,
55-65,41,Short Term,
55-65,42,Short Term,
55-65,43,Short Term,
55-65,44,Short Term,
55-65,45,Short Term,
55-65,46,Short Term,
55-65,47,Short Term,
55-65,48,Short Term,
55-65,49,Short Term,
55-65,50,Short Term,
55-65,< 3M,Income,
55-65,< 6M,Income,
55-65,< 1Y,Income,
55-65,1,Income,
55-65,2,Income,80
55-65,3,Income,60
55-65,4,Income,40
55-65,5,Income, 
55-65,6,Income,
55-65,7,Income,
55-65,8,Income,
55-65,9,Income,
55-65,10,Income,
55-65,11,Income,
55-65,12,Income,
55-65,13,Income,
55-65,14,Income,
55-65,15,Income,
55-65,16,Income,
55-65,17,Income,
55-65,18,Income,
55-65,19,Income,
55-65,20,Income,
55-65,21,Income,
55-65,22,Income,
55-65,23,Income,
55-65,24,Income,
55-65,25,Income,
55-65,26,Income,
55-65,27,Income,
55-65,28,Income,
55-65,29,Income,
55-65,30,Income,
55-65,31,Income,
55-65,32,Income,
55-65,33,Income,
55-65,34,Income,
55-65,35,Income,
55-65,36,Income,
55-65,37,Income,
55-65,38,Income,
55-65,39,Income,
55-65,40,Income,
55-65,41,Income,
55-65,42,Income,
55-65,43,Income,
55-65,44,Income,
55-65,45,Income,
55-65,46,Income,
55-65,47,Income,
55-65,48,Income,
55-65,49,Income,
55-65,50,Income,
55-65,< 3M,Balanced,
55-65,< 6M,Balanced,
55-65,< 1Y,Balanced,
55-65,1,Balanced,
55-65,2,Balanced,20.0
55-65,3,Balanced,40.0
55-65,4,Balanced,60.0
55-65,5,Balanced,80.0
55-65,6,Balanced,60.0
55-65,7,Balanced,40.0
55-65,8,Balanced,30.0
55-65,9,Balanced,20.0
55-65,10,Balanced,
55-65,11,Balanced,
55-65,12,Balanced,
55-65,13,Balanced,
55-65,14,Balanced,
55-65,15,Balanced,
55-65,16,Balanced,
55-65,17,Balanced,
55-65,18,Balanced,
55-65,19,Balanced,
55-65,20,Balanced,
55-65,21,Balanced,
55-65,22,Balanced,
55-65,23,Balanced,
55-65,24,Balanced,
55-65,25,Balanced,
55-65,26,Balanced,
55-65,27,Balanced,
55-65,28,Balanced,
55-65,29,Balanced,
55-65,30,Balanced,
55-65,31,Balanced,
55-65,32,Balanced,
55-65,33,Balanced,
55-65,34,Balanced,
55-65,35,Balanced,
55-65,36,Balanced,
55-65,37,Balanced,
55-65,38,Balanced,
55-65,39,Balanced,
55-65,40,Balanced,
55-65,41,Balanced,
55-65,42,Balanced,
55-65,43,Balanced,
55-65,44,Balanced,
55-65,45,Balanced,
55-65,46,Balanced,
55-65,47,Balanced,
55-65,48,Balanced,
55-65,49,Balanced,
55-65,50,Balanced,
55-65,< 3M,Equity – Mod,
55-65,< 6M,Equity – Mod,
55-65,< 1Y,Equity – Mod,
55-65,1,Equity – Mod,
55-65,2,Equity – Mod,
55-65,3,Equity – Mod,
55-65,4,Equity – Mod,
55-65,5,Equity – Mod,20.0
55-65,6,Equity – Mod,40.0
55-65,7,Equity – Mod,60.0
55-65,8,Equity – Mod,70.0
55-65,9,Equity – Mod,80.0
55-65,10,Equity – Mod,100.0
55-65,11,Equity – Mod,100.0
55-65,12,Equity – Mod,100.0
55-65,13,Equity – Mod,100.0
55-65,14,Equity – Mod,100.0
55-65,15,Equity – Mod,100.0
55-65,16,Equity – Mod,100.0
55-65,17,Equity – Mod,100.0
55-65,18,Equity – Mod,100.0
55-65,19,Equity – Mod,100.0
55-65,20,Equity – Mod,100.0
55-65,21,Equity – Mod,100.0
55-65,22,Equity – Mod,100.0
55-65,23,Equity – Mod,100.0
55-65,24,Equity – Mod,100.0
55-65,25,Equity – Mod,100.0
55-65,26,Equity – Mod,100.0
55-65,27,Equity – Mod,100.0
55-65,28,Equity – Mod,100.0
55-65,29,Equity – Mod,100.0
55-65,30,Equity – Mod,100.0
55-65,31,Equity – Mod,100.0
55-65,32,Equity – Mod,100.0
55-65,33,Equity – Mod,100.0
55-65,34,Equity – Mod,100.0
55-65,35,Equity – Mod,100.0
55-65,36,Equity – Mod,100.0
55-65,37,Equity – Mod,100.0
55-65,38,Equity – Mod,100.0
55-65,39,Equity – Mod,100.0
55-65,40,Equity – Mod,100.0
55-65,41,Equity – Mod,100.0
55-65,42,Equity – Mod,100.0
55-65,43,Equity – Mod,100.0
55-65,44,Equity – Mod,100.0
55-65,45,Equity – Mod,100.0
55-65,46,Equity – Mod,100.0
55-65,47,Equity – Mod,100.0
55-65,48,Equity – Mod,100.0
55-65,49,Equity – Mod,100.0
55-65,50,Equity – Mod,100.0
55-65,< 3M,Equity – Agg,
55-65,< 6M,Equity – Agg,
55-65,< 1Y,Equity – Agg,
55-65,1,Equity – Agg,
55-65,2,Equity – Agg,
55-65,3,Equity – Agg,
55-65,4,Equity – Agg,
55-65,5,Equity – Agg,
55-65,6,Equity – Agg,
55-65,7,Equity – Agg,
55-65,8,Equity – Agg,0
55-65,9,Equity – Agg,0
55-65,10,Equity – Agg,0
55-65,11,Equity – Agg,0
55-65,12,Equity – Agg, 
55-65,13,Equity – Agg, 
55-65,14,Equity – Agg, 
55-65,15,Equity – Agg, 
55-65,16,Equity – Agg, 
55-65,17,Equity – Agg, 
55-65,18,Equity – Agg, 
55-65,19,Equity – Agg, 
55-65,20,Equity – Agg, 
55-65,21,Equity – Agg, 
55-65,22,Equity – Agg, 
55-65,23,Equity – Agg, 
55-65,24,Equity – Agg, 
55-65,25,Equity – Agg, 
55-65,26,Equity – Agg, 
55-65,27,Equity – Agg, 
55-65,28,Equity – Agg, 
55-65,29,Equity – Agg, 
55-65,30,Equity – Agg, 
55-65,31,Equity – Agg, 
55-65,32,Equity – Agg, 
55-65,33,Equity – Agg, 
55-65,34,Equity – Agg, 
55-65,35,Equity – Agg, 
55-65,36,Equity – Agg, 
55-65,37,Equity – Agg, 
55-65,38,Equity – Agg, 
55-65,39,Equity – Agg, 
55-65,40,Equity – Agg, 
55-65,41,Equity – Agg, 
55-65,42,Equity – Agg, 
55-65,43,Equity – Agg, 
55-65,44,Equity – Agg, 
55-65,45,Equity – Agg, 
55-65,46,Equity – Agg, 
55-65,47,Equity – Agg, 
55-65,48,Equity – Agg, 
55-65,49,Equity – Agg, 
55-65,50,Equity – Agg, 
>65,< 3M,Liquid,100.0
>65,< 6M,Liquid,100.0
>65,< 1Y,Liquid,50.0
>65,1,Liquid,20.0
>65,2,Liquid,
>65,3,Liquid,
>65,4,Liquid,
>65,5,Liquid,
>65,6,Liquid,
>65,7,Liquid,
>65,8,Liquid,
>65,9,Liquid,
>65,10,Liquid,
>65,11,Liquid,
>65,12,Liquid,
>65,13,Liquid,
>65,14,Liquid,
>65,15,Liquid,
>65,16,Liquid,
>65,17,Liquid,
>65,18,Liquid,
>65,19,Liquid,
>65,20,Liquid,
>65,21,Liquid,
>65,22,Liquid,
>65,23,Liquid,
>65,24,Liquid,
>65,25,Liquid,
>65,26,Liquid,
>65,27,Liquid,
>65,28,Liquid,
>65,29,Liquid,
>65,30,Liquid,
>65,31,Liquid,
>65,32,Liquid,
>65,33,Liquid,
>65,34,Liquid,
>65,35,Liquid,
>65,36,Liquid,
>65,37,Liquid,
>65,38,Liquid,
>65,39,Liquid,
>65,40,Liquid,
>65,41,Liquid,
>65,42,Liquid,
>65,43,Liquid,
>65,44,Liquid,
>65,45,Liquid,
>65,46,Liquid,
>65,47,Liquid,
>65,48,Liquid,
>65,49,Liquid,
>65,50,Liquid,
>65,< 3M,Short Term,
>65,< 6M,Short Term,
>65,< 1Y,Short Term,50.0
>65,1,Short Term,80.0
>65,2,Short Term,
>65,3,Short Term,
>65,4,Short Term,
>65,5,Short Term,
>65,6,Short Term,
>65,7,Short Term,
>65,8,Short Term,
>65,9,Short Term,
>65,10,Short Term,
>65,11,Short Term,
>65,12,Short Term,
>65,13,Short Term,
>65,14,Short Term,
>65,15,Short Term,
>65,16,Short Term,
>65,17,Short Term,
>65,18,Short Term,
>65,19,Short Term,
>65,20,Short Term,
>65,21,Short Term,
>65,22,Short Term,
>65,23,Short Term,
>65,24,Short Term,
>65,25,Short Term,
>65,26,Short Term,
>65,27,Short Term,
>65,28,Short Term,
>65,29,Short Term,
>65,30,Short Term,
>65,31,Short Term,
>65,32,Short Term,
>65,33,Short Term,
>65,34,Short Term,
>65,35,Short Term,
>65,36,Short Term,
>65,37,Short Term,
>65,38,Short Term,
>65,39,Short Term,
>65,40,Short Term,
>65,41,Short Term,
>65,42,Short Term,
>65,43,Short Term,
>65,44,Short Term,
>65,45,Short Term,
>65,46,Short Term,
>65,47,Short Term,
>65,48,Short Term,
>65,49,Short Term,
>65,50,Short Term,
>65,< 3M,Income,
>65,< 6M,Income,
>65,< 1Y,Income,
>65,1,Income,
>65,2,Income,100.0
>65,3,Income,80.0
>65,4,Income,70.0
>65,5,Income,60.0
>65,6,Income,40.0
>65,7,Income,20.0
>65,8,Income,
>65,9,Income,
>65,10,Income,
>65,11,Income,
>65,12,Income,
>65,13,Income,
>65,14,Income,
>65,15,Income,
>65,16,Income,
>65,17,Income,
>65,18,Income,
>65,19,Income,
>65,20,Income,
>65,21,Income,
>65,22,Income,
>65,23,Income,
>65,24,Income,
>65,25,Income,
>65,26,Income,
>65,27,Income,
>65,28,Income,
>65,29,Income,
>65,30,Income,
>65,31,Income,
>65,32,Income,
>65,33,Income,
>65,34,Income,
>65,35,Income,
>65,36,Income,
>65,37,Income,
>65,38,Income,
>65,39,Income,
>65,40,Income,
>65,41,Income,
>65,42,Income,
>65,43,Income,
>65,44,Income,
>65,45,Income,
>65,46,Income,
>65,47,Income,
>65,48,Income,
>65,49,Income,
>65,50,Income,
>65,< 3M,Balanced,
>65,< 6M,Balanced,
>65,< 1Y,Balanced,
>65,1,Balanced,
>65,2,Balanced,0.0
>65,3,Balanced,20.0
>65,4,Balanced,30.0
>65,5,Balanced,40.0
>65,6,Balanced,60.0
>65,7,Balanced,80.0
>65,8,Balanced,100.0
>65,9,Balanced,80.0
>65,10,Balanced,80.0
>65,11,Balanced,80.0
>65,12,Balanced,80.0
>65,13,Balanced,80.0
>65,14,Balanced,80.0
>65,15,Balanced,80.0
>65,16,Balanced,80.0
>65,17,Balanced,80.0
>65,18,Balanced,80.0
>65,19,Balanced,80.0
>65,20,Balanced,80.0
>65,21,Balanced,80.0
>65,22,Balanced,80.0
>65,23,Balanced,80.0
>65,24,Balanced,80.0
>65,25,Balanced,80.0
>65,26,Balanced,80.0
>65,27,Balanced,80.0
>65,28,Balanced,80.0
>65,29,Balanced,80.0
>65,30,Balanced,80.0
>65,31,Balanced,80.0
>65,32,Balanced,80.0
>65,33,Balanced,80.0
>65,34,Balanced,80.0
>65,35,Balanced,80.0
>65,36,Balanced,80.0
>65,37,Balanced,80.0
>65,38,Balanced,80.0
>65,39,Balanced,80.0
>65,40,Balanced,80.0
>65,41,Balanced,80.0
>65,42,Balanced,80.0
>65,43,Balanced,80.0
>65,44,Balanced,80.0
>65,45,Balanced,80.0
>65,46,Balanced,80.0
>65,47,Balanced,80.0
>65,48,Balanced,80.0
>65,49,Balanced,80.0
>65,50,Balanced,80.0
>65,< 3M,Equity – Mod,
>65,< 6M,Equity – Mod,
>65,< 1Y,Equity – Mod,
>65,1,Equity – Mod,
>65,2,Equity – Mod,
>65,3,Equity – Mod,
>65,4,Equity – Mod,
>65,5,Equity – Mod,0.0
>65,6,Equity – Mod,0.0
>65,7,Equity – Mod,0.0
>65,8,Equity – Mod,0.0
>65,9,Equity – Mod,20.0
>65,10,Equity – Mod,20.0
>65,11,Equity – Mod,20.0
>65,12,Equity – Mod,20.0
>65,13,Equity – Mod,20.0
>65,14,Equity – Mod,20.0
>65,15,Equity – Mod,20.0
>65,16,Equity – Mod,20.0
>65,17,Equity – Mod,20.0
>65,18,Equity – Mod,20.0
>65,19,Equity – Mod,20.0
>65,20,Equity – Mod,20.0
>65,21,Equity – Mod,20.0
>65,22,Equity – Mod,20.0
>65,23,Equity – Mod,20.0
>65,24,Equity – Mod,20.0
>65,25,Equity – Mod,20.0
>65,26,Equity – Mod,20.0
>65,27,Equity – Mod,20.0
>65,28,Equity – Mod,20.0
>65,29,Equity – Mod,20.0
>65,30,Equity – Mod,20.0
>65,31,Equity – Mod,20.0
>65,32,Equity – Mod,20.0
>65,33,Equity – Mod,20.0
>65,34,Equity – Mod,20.0
>65,35,Equity – Mod,20.0
>65,36,Equity – Mod,20.0
>65,37,Equity – Mod,20.0
>65,38,Equity – Mod,20.0
>65,39,Equity – Mod,20.0
>65,40,Equity – Mod,20.0
>65,41,Equity – Mod,20.0
>65,42,Equity – Mod,20.0
>65,43,Equity – Mod,20.0
>65,44,Equity – Mod,20.0
>65,45,Equity – Mod,20.0
>65,46,Equity – Mod,20.0
>65,47,Equity – Mod,20.0
>65,48,Equity – Mod,20.0
>65,49,Equity – Mod,20.0
>65,50,Equity – Mod,20.0
>65,< 3M,Equity – Agg,
>65,< 6M,Equity – Agg,
>65,< 1Y,Equity – Agg,
>65,1,Equity – Agg,
>65,2,Equity – Agg,
>65,3,Equity – Agg,
>65,4,Equity – Agg,
>65,5,Equity – Agg,
>65,6,Equity – Agg,
>65,7,Equity – Agg,
>65,8,Equity – Agg,0
>65,9,Equity – Agg,0
>65,10,Equity – Agg,0
>65,11,Equity – Agg,0
>65,12,Equity – Agg, 
>65,13,Equity – Agg, 
>65,14,Equity – Agg, 
>65,15,Equity – Agg, 
>65,16,Equity – Agg, 
>65,17,Equity – Agg, 
>65,18,Equity – Agg, 
>65,19,Equity – Agg, 
>65,20,Equity – Agg, 
>65,21,Equity – Agg, 
>65,22,Equity – Agg, 
>65,23,Equity – Agg, 
>65,24,Equity – Agg, 
>65,25,Equity – Agg, 
>65,26,Equity – Agg, 
>65,27,Equity – Agg, 
>65,28,Equity – Agg, 
>65,29,Equity – Agg, 
>65,30,Equity – Agg, 
>65,31,Equity – Agg, 
>65,32,Equity – Agg, 
>65,33,Equity – Agg, 
>65,34,Equity – Agg, 
>65,35,Equity – Agg, 
>65,36,Equity – Agg, 
>65,37,Equity – Agg, 
>65,38,Equity – Agg, 
>65,39,Equity – Agg, 
>65,40,Equity – Agg, 
>65,41,Equity – Agg, 
>65,42,Equity – Agg, 
>65,43,Equity – Agg, 
>65,44,Equity – Agg, 
>65,45,Equity – Agg, 
>65,46,Equity – Agg, 
>65,47,Equity – Agg, 
>65,48,Equity – Agg, 
>65,49,Equity – Agg, 
>65,50,Equity – Agg, 
